user_name,url,created_at,map1,votes1,map2,votes2,map3,votes3,total_votes,percent1,percent2,percent3,winner
pirate_ow_,https://www.twitch.tv/videos/2502002942,2025-07-02,COLOSSEO,3,AATLIS,1,ESPERANÇA,2,6,0.5,0.16666666666666666,0.3333333333333333,COLOSSEO
pirate_ow_,https://www.twitch.tv/videos/2502002942,2025-07-02,NEPAL,1,OASIS,4,AATLIS,4,9,0.1111111111111111,0.4444444444444444,0.4444444444444444,draw
pirate_ow_,https://www.twitch.tv/videos/2502002942,2025-07-02,NUMBANI,1,OASIS,7,AATLIS,1,9,0.1111111111111111,0.7777777777777778,0.1111111111111111,OASIS
pirate_ow_,https://www.twitch.tv/videos/2502002942,2025-07-02,AATLIS,3,ROUTE 66,1,WATCHPOINT: GIBRALTAR,2,6,0.5,0.16666666666666666,0.3333333333333333,AATLIS
pirate_ow_,https://www.twitch.tv/videos/2502002942,2025-07-02,MIDTOWN,2,RUNASAPI,7,NEW QUEEN STREET,0,9,0.2222222222222222,0.7777777777777778,0.0,RUNASAPI
pirate_ow_,https://www.twitch.tv/videos/2502002942,2025-07-02,RIALTO,1,SHAMBALI MONASTERY,1,NEW JUNK CITY,2,4,0.25,0.25,0.5,NEW JUNK CITY
pirate_ow_,https://www.twitch.tv/videos/2502002942,2025-07-02,ESPERANÇA,0,CIRCUIT ROYAL,4,AATLIS,3,7,0.0,0.5714285714285714,0.42857142857142855,CIRCUIT ROYAL
pirate_ow_,https://www.twitch.tv/videos/2502002942,2025-07-02,COLOSSEO,5,JUNKERTOWN,0,SAMOA,1,6,0.8333333333333334,0.0,0.16666666666666666,COLOSSEO
pirate_ow_,https://www.twitch.tv/videos/2502002942,2025-07-02,RUNASAPI,1,AATLIS,0,NEW QUEEN STREET,6,7,0.14285714285714285,0.0,0.8571428571428571,NEW QUEEN STREET
Danteh,https://www.twitch.tv/videos/2501905400,2025-07-02,ROUTE 66,4,DORADO,1,NUMBANI,2,7,0.5714285714285714,0.14285714285714285,0.2857142857142857,ROUTE 66
Danteh,https://www.twitch.tv/videos/2501905400,2025-07-02,AATLIS,0,NEW JUNK CITY,6,NEW QUEEN STREET,2,8,0.0,0.75,0.25,NEW JUNK CITY
Danteh,https://www.twitch.tv/videos/2501905400,2025-07-02,AATLIS,1,SHAMBALI MONASTERY,2,COLOSSEO,4,7,0.14285714285714285,0.2857142857142857,0.5714285714285714,COLOSSEO
